sample_id,category,original_text,plaintext_length
128,Chat Messages,Hey Stephen! Move some focus mention sense pattern agreement different. 😊,73
129,Financial Data,Account No: WYQJ43840590998608 at Krause Group,46
130,Legal and Medical Text,Compliance: Officer major evening line year something allow occur.,66
131,Business/Internal Notes,Project Update: Too meeting conference cut far also nice.,57
132,Login Credentials,"Username: virginia50, Password: R(^3PGjZ+4",42
133,Legal and Medical Text,Compliance: Accept oil reflect.,31
134,Chat Messages,Multilingual: Laugh tell environmental dark rule standard. cv,61
135,Login Credentials,PIN: 4375,9
136,Financial Data,Transaction: RUB 391.08 for Open-source secondary toolset,57
137,Legal and Medical Text,Compliance: Father start miss have.,35
138,PII,1979-01-19,10
139,PII,Edwin Morris,12
140,Legal and Medical Text,Compliance: Nothing world service purpose local spend old.,58
141,Legal and Medical Text,Legal Clause: Parent successful letter picture democratic guy.,62
142,Legal and Medical Text,Prescription: Suddenly call resource finally.,45
143,PII,1950-10-12,10
144,PII,"28059 Robert Vista
Gutierrezborough, ID 38666",45
145,Financial Data,Credit Card: 2709693756648152,29
146,Legal and Medical Text,Legal Clause: Claim movie idea.,31
147,Business/Internal Notes,Project Update: Above page appear certain list cut water.,57
148,Login Credentials,"Username: brianhowe, Password: &t#4(Y&n+T",41
149,Login Credentials,PIN: 5777,9
150,Business/Internal Notes,Project Update: Include happen newspaper next stand.,52
151,Business/Internal Notes,Project Update: Specific where put record husband.,50
152,Financial Data,"Account No: IOZZ85133972485993 at Levine, Long and Ray",54
153,Business/Internal Notes,Decision: Physical since believe be food.,41
154,PII,675-95-5297,11
155,PII,1960-05-16,10
156,Financial Data,GB94KJGB98198726931508,22
157,Authentication Tokens,Session Token: efb5aaeb1213ec13d207a18ff6b26f93524fd2ce9403c2e7624f440adbd3c775,79
158,Authentication Tokens,OAuth Token: e386f6f3cb08238ac046e21da20d79285823057b,53
159,Login Credentials,"Username: browndonna, Password: @E&9IuSa%)",42
160,Legal and Medical Text,Prescription: Smile blue young popular even.,44
161,Business/Internal Notes,Decision: Whether and today sign wide want garden.,50
162,Login Credentials,"Username: annettejuarez, Password: O@JzAVp)@6",45
163,Chat Messages,Hey Michael! Audience investment write. 😂,41
164,Legal and Medical Text,Prescription: Force special half gun I traditional.,51
165,Financial Data,GB02YESW14444784222526,22
166,Business/Internal Notes,Meeting Summary: Remain pretty someone record dog.,50
167,Login Credentials,PIN: 5735,9
168,Authentication Tokens,API Key: 5ff55424-9e88-43c2-975c-cd35d4185780,45
169,Legal and Medical Text,Compliance: Thus would race reflect for spend would.,52
170,PII,760-475-0779x8634,17
171,Authentication Tokens,OAuth Token: 15503d7086e508a4df1db3801c3ba1442cdf0566,53
172,Legal and Medical Text,Prescription: Serve smile price.,32
173,PII,Jimmy Hamilton,14
174,Chat Messages,Myself price he box mention. Western enter so out network movie.,64
175,Authentication Tokens,OAuth Token: 9710c6edcd3684a2c35cc850525ea1834779b178,53
176,Business/Internal Notes,Decision: Control own debate it beat movement.,46
177,Authentication Tokens,Session Token: 829a44ab0b024de22ca274f8b0c262b72263cbdb2cac634b0e41781f8b828111,79
178,Financial Data,Transaction: MOP 43.80 for Fundamental cohesive flexibility,59
179,Login Credentials,"Username: lisa04, Password: )I$k&PUg&6",38
180,Login Credentials,"Username: randall16, Password: A5lCRGi3%l",41
181,Financial Data,GB28CEJW96006538479500,22
182,Chat Messages,Fall those something method between news. Include size product dog the.,71
183,Login Credentials,PIN: 6987,9
184,Business/Internal Notes,Project Update: Seek scientist nation.,38
185,Business/Internal Notes,Meeting Summary: Off difficult commercial.,42
186,Chat Messages,Hey Russell! Per music simply say official result. 😂,52
187,Legal and Medical Text,Compliance: They especially actually we affect economy.,55
188,Business/Internal Notes,Project Update: Republican wonder window democratic season.,59
189,Financial Data,GB24ACHL86373312527592,22
190,Login Credentials,PIN: 9590,9
191,Login Credentials,"Username: lharris, Password: YTLBQM$y*9",39
192,Legal and Medical Text,Prescription: Very against each another able career.,52
193,Authentication Tokens,API Key: c32e9eaa-3420-44e5-8d18-86dae6e44feb,45
194,Login Credentials,PIN: 8474,9
195,Login Credentials,"Username: richardseric, Password: )9ZrqjCi07",44
196,Chat Messages,Hey Timothy! Mean girl include. 😊,33
197,Authentication Tokens,API Key: b0fc8d73-1777-4969-b0c1-5a7771fb4dad,45
198,Business/Internal Notes,Project Update: Style quite full turn tell account everybody pressure.,70
199,Chat Messages,Hey Michele! Bit fight shoulder. 👍,34
200,Chat Messages,Multilingual: Particularly think continue of resource different buy. nds,72
201,Financial Data,Credit Card: 371236399671123,28
202,Legal and Medical Text,Legal Clause: Way great magazine agree deep traditional mind.,61
203,Authentication Tokens,OAuth Token: feca2606a73146af11f0599ddc6fc265ea695c13,53
204,Authentication Tokens,OAuth Token: d7830954b1e5d440437e4738878955651efa8c43,53
205,Business/Internal Notes,Decision: Party star give officer myself chair.,47
206,Login Credentials,"Username: dylan90, Password: j%@1TY_oP!",39
207,Financial Data,Credit Card: 4996586966261388804,32
208,Chat Messages,Several detail growth. Moment serious rather entire into reveal edge.,69
209,Chat Messages,Multilingual: Include effect force. ja,38
210,PII,1920-04-16,10
211,Business/Internal Notes,Meeting Summary: Home same kind real have society table.,56
212,Login Credentials,PIN: 3274,9
213,Chat Messages,Hey Danny! Religious team fine guess particularly per. 😂,56
214,PII,Tony Rose MD,12
215,Authentication Tokens,API Key: e0bd420c-c557-476c-84fd-c6ae61d34f96,45
216,Login Credentials,"Username: racheltran, Password: j6UP^z(n^W",42
217,Chat Messages,Forget bag art four wind your other. Little present rather eye edge.,68
218,Chat Messages,Current as open democratic.,27
219,PII,"7904 Samantha Island
Jonesborough, ID 18281",43
220,Authentication Tokens,Session Token: d012e5f568c5e12009a61f3c84f0404e20893f8c8442d17e8156e31e47cd093e,79
221,PII,Angela Bauer,12
222,Financial Data,Account No: DZLF43991528078734 at Matthews-Martin,49
223,Authentication Tokens,API Key: c19851c6-7f17-40d8-9708-e5ce88a41e33,45
224,Financial Data,Credit Card: 6011727977072703,29
225,Authentication Tokens,Session Token: 34f99cc866ef2c61ac84b1d682941affcab43e3cac337719fac90049cb4d0f42,79
226,Business/Internal Notes,Project Update: Green item public along.,40
227,PII,1991-02-06,10
228,Chat Messages,Multilingual: Production voice hand image like far only. sid,60
229,Login Credentials,PIN: 5950,9
230,Financial Data,Credit Card: 639065892056,25
231,Chat Messages,Multilingual: Tv agent better against item. ja,46
232,Chat Messages,Multilingual: Although media several pattern. ko,48
233,Business/Internal Notes,Project Update: Pay American see job participant resource court.,64
234,Authentication Tokens,API Key: b4f4000c-f550-4bae-be94-a6e106dc2503,45
235,Business/Internal Notes,Decision: Base body resource lay.,33
236,Legal and Medical Text,Prescription: Nature impact food.,33
237,Login Credentials,PIN: 7688,9
238,Business/Internal Notes,Project Update: Somebody ball mean international.,49
239,Business/Internal Notes,Meeting Summary: Machine subject inside character two someone father foot.,74
240,Business/Internal Notes,Meeting Summary: Collection week career however reflect sit.,60
241,Legal and Medical Text,Compliance: Husband car model recognize he fight white.,55
242,Authentication Tokens,OAuth Token: 56f05eefa44785485e825f0e083c5628098b43f7,53
243,Legal and Medical Text,Legal Clause: Up staff people at before.,40
244,Financial Data,Credit Card: 4312806226192,26
245,Financial Data,Credit Card: 3563678946692908,29
246,Chat Messages,Multilingual: Suggest significant administration line growth eat job. is,72
247,Authentication Tokens,API Key: 4a315cdf-b738-447c-83e9-fee2557e054a,45
248,PII,1980-02-12,10
249,Legal and Medical Text,Compliance: Child long budget who.,34
250,Legal and Medical Text,Legal Clause: Smile wind figure expect who kitchen happy chance.,64
251,Business/Internal Notes,Decision: Forget everyone listen life land.,43
252,Financial Data,GB16FNOA52511727937883,22
253,Authentication Tokens,OAuth Token: 6c9fa61b610e89830607e9d1695e144956f5bb03,53
254,PII,Michelle Young,14
255,Business/Internal Notes,Decision: Office could guess per.,33
256,Login Credentials,PIN: 8587,9
257,Login Credentials,PIN: 8044,9
258,Chat Messages,Another business type. Effort first beat discover board history. If treatment history simply.,93
259,Legal and Medical Text,Prescription: Eight continue support news anything who night speak.,67
260,Legal and Medical Text,Prescription: Improve poor toward way learn hand later.,55
261,Legal and Medical Text,Compliance: Six add method prepare data.,40
262,Legal and Medical Text,Legal Clause: Management company line.,38
263,Financial Data,Account No: RURP71673299169364 at Butler-Clay,45
264,Login Credentials,"Username: ipace, Password: ^ud&Ep)T41",37
265,Business/Internal Notes,Meeting Summary: Phone star do drop mother.,43
266,Login Credentials,"Username: parkerrandall, Password: )5W%PN9z#(",45
267,Authentication Tokens,Session Token: 850dcf041c6b43f0be1967f6e4cfac33483a9970e84abb1bf3dd4864a268bc6b,79
268,Login Credentials,PIN: 3157,9
269,Login Credentials,"Username: gabrieljoseph, Password: P+u2PEg4&#",45
270,Business/Internal Notes,Decision: Seven white learn population.,39
271,PII,736.515.5812x29089,18
272,Chat Messages,Late whole hour now. Quickly deal thank else tell act far film.,63
273,Business/Internal Notes,Decision: Management government college former down.,52
274,Chat Messages,Hey Shannon! Seat our upon employee long yourself pass compare. 😂,65
275,Legal and Medical Text,Compliance: Impact statement law.,33
276,Authentication Tokens,OAuth Token: 69d03c0c7d22fd3c2b59c06df15ab5e5eed6a7a3,53
277,Financial Data,Credit Card: 4573977627876649204,32
278,Login Credentials,PIN: 7596,9
279,Financial Data,Transaction: GYD 137.20 for Assimilated clear-thinking adapter,62
280,Legal and Medical Text,Legal Clause: Meeting send offer history toward hold determine.,63
281,Authentication Tokens,API Key: e9eca71f-6ab7-469b-821f-3e661265522c,45
282,Login Credentials,"Username: anna60, Password: *r6^_U(dd(",38
283,Login Credentials,PIN: 5546,9
284,PII,Daniel Flowers,14
285,Chat Messages,"Tend figure personal. Congress like accept page.
Eight see child its.",69
286,Authentication Tokens,Session Token: 92a2c902dcf99410ac2485e9ce93ece2da9d439df4339f88e2f221f17aa56355,79
287,Business/Internal Notes,Decision: Practice candidate whom much capital thank on.,56
288,PII,227-99-2618,11
289,Login Credentials,PIN: 1200,9
290,Login Credentials,"Username: alexander60, Password: !mEFuxpfA4",43
291,Business/Internal Notes,Meeting Summary: Party relate purpose effect reveal light phone enough.,71
292,PII,001-469-525-7223x7802,21
293,Login Credentials,"Username: wbenson, Password: k&zR3tWjl$",39
294,Financial Data,Account No: LONZ06810577030489 at Morris-Jones,46
295,Financial Data,"Account No: IGCI87178897455846 at Allen, Sparks and Ashley",58
296,Chat Messages,Hey Patricia! Standard direction specific meet bed bad. 😊,57
297,Authentication Tokens,API Key: 50c612ce-250a-4b9c-8bfd-4b3ee95cd720,45
298,Business/Internal Notes,Meeting Summary: Arm leader particular fly accept debate price gas.,67
299,Business/Internal Notes,Meeting Summary: Down amount certain four main raise interest.,62
300,Business/Internal Notes,Meeting Summary: More general much now sort.,44
301,Chat Messages,Multilingual: Word sometimes ball religious college account. tg,63
302,Authentication Tokens,API Key: 6cda3366-9a44-4e6e-b671-25360b53d4d8,45
303,Login Credentials,"Username: jose09, Password: Cg!8rKqNH^",38
304,Financial Data,"Account No: HRUI04528870025042 at Harrington, Horton and Castro",63
305,Business/Internal Notes,Decision: Traditional and always pull college build scene.,58
306,Authentication Tokens,Session Token: d7466945a4f8f619ad6e78222b4f65aaeb106214ec69cc6a0eee5b2dd56b7b3c,79
307,Login Credentials,PIN: 8519,9
308,Login Credentials,"Username: zacharytaylor, Password: s63^*qJnz#",45
309,Chat Messages,Hey Mark! Hold recent minute nothing assume who challenge. 😂,60
310,Business/Internal Notes,Project Update: We apply ball class point choice cultural.,58
311,Authentication Tokens,Session Token: 20cd93d259a6fbcfd08096a1623aacf3c82e3954ab562882428dd5eef91aba23,79
312,Authentication Tokens,Session Token: 821626ffb847260b698051bc71a7a636e5ea53c14a15b9347035774f84a361c3,79
313,Financial Data,"Account No: JWLM37070756256892 at Rocha, Miller and Carter",58
314,Login Credentials,PIN: 7732,9
315,Business/Internal Notes,Meeting Summary: Development anything respond difference agency large gas team.,79
316,Login Credentials,"Username: biancahenry, Password: 9ViPsaRU%v",43
317,Financial Data,Credit Card: 4129765076545,26
318,PII,"2229 Brown Fords Suite 196
North Troyberg, IN 78401",51
319,Financial Data,Credit Card: 577308181608,25
320,Business/Internal Notes,Decision: Bill we pattern pressure.,35
321,Legal and Medical Text,Compliance: Management reflect center miss field later stock peace.,67
322,Financial Data,"Account No: NBKE86563212537701 at Austin, Gonzalez and Murphy",61
323,Business/Internal Notes,Meeting Summary: Yeah leader country main without.,50
324,Legal and Medical Text,Compliance: Alone I space oil skin.,35
325,Login Credentials,PIN: 6617,9
326,Authentication Tokens,API Key: 36c4ac5d-f816-4550-af54-8f61142eda62,45
327,PII,1919-03-25,10
328,Legal and Medical Text,Prescription: Reality none around hold story.,45
329,Business/Internal Notes,Project Update: Rich but wall reality again available party.,60
330,Financial Data,Credit Card: 4691176975258609877,32
331,Login Credentials,"Username: brandon38, Password: &hH1He*1ii",41
332,Legal and Medical Text,Compliance: Enough whether conference control guess number.,59
333,Business/Internal Notes,Project Update: Program away west few process dream reflect.,60
334,Financial Data,"Account No: XCEM19153936512773 at Thomas, Rodriguez and Holmes",62
335,Login Credentials,PIN: 1823,9
336,Chat Messages,They let whole care try himself up. Rich can compare image.,59
337,Authentication Tokens,API Key: 99bf7d71-0726-46da-a887-2fbc8f33e6c2,45
338,Chat Messages,Project guy also deep heart reflect.,36
339,Financial Data,Transaction: ZMW 405.79 for Multi-lateral solution-oriented superstructure,74
340,Chat Messages,Multilingual: Office door usually. mt,37
341,Business/Internal Notes,Project Update: Pass free letter page.,38
342,Authentication Tokens,Session Token: 40f031f6e3e410ee9022a27e480a43d8124e79976763c068ad00d807d8e33bc4,79
343,Business/Internal Notes,Project Update: Different employee standard seven population.,61
344,Business/Internal Notes,Decision: Debate heart cause wrong.,35
345,Chat Messages,Hey Catherine! Security tend because. 😂,39
346,Authentication Tokens,Session Token: 6f1591397b11a51dfcc5cbb0943c5f1084ce6c68830479362cd5ee10c39d5c5d,79
347,Business/Internal Notes,Meeting Summary: Owner himself guy student.,43
348,Financial Data,Credit Card: 4596048611387827802,32
349,Business/Internal Notes,Project Update: Treatment test inside experience husband behavior.,66
350,Login Credentials,PIN: 7477,9
351,Chat Messages,Hey Gabriel! Part of forget power senior evidence. 😊,52
352,Authentication Tokens,OAuth Token: 94c0640500a85ae79b53b68acbbbab385550008d,53
353,Business/Internal Notes,Project Update: Begin evening scene family half hit crime.,58
354,Authentication Tokens,OAuth Token: ff4088feaf98c04fd2666625a21b4570abd08860,53
355,Authentication Tokens,API Key: 24560a3c-54dc-4e95-9488-a5192d0c9ce9,45
356,Financial Data,Account No: TMAN73445505793552 at Miller PLC,44
357,Financial Data,"Account No: QBOD28981887383883 at Lee, David and Lloyd",54
358,Login Credentials,"Username: agriffin, Password: 1%T#@XnY+2",40
359,Financial Data,GB81VDPK38495146116634,22
360,Login Credentials,PIN: 483,8
361,Business/Internal Notes,Decision: Field election wall lawyer why.,41
362,Authentication Tokens,API Key: af1e2271-dcbd-4a64-b947-cd8cdd261bc9,45
363,Business/Internal Notes,Project Update: Campaign spring a amount deal writer.,53
364,Authentication Tokens,Session Token: 9362ce3f4f8323f28bbcf78c48d55ae78d90545740678d721bf0af5a5e02216a,79
365,PII,755-03-2634,11
366,Login Credentials,PIN: 7125,9
367,Business/Internal Notes,Project Update: School current old suffer home.,47
368,PII,1947-07-29,10
369,Legal and Medical Text,Prescription: Poor person still answer her office party hear.,61
370,Legal and Medical Text,Legal Clause: Probably report cultural me design free.,54
371,Legal and Medical Text,Prescription: View major nor explain effort successful commercial.,66
372,Financial Data,Account No: OXGI80244836073697 at Guerrero-Crosby,49
373,Chat Messages,Mr quite heart also program well win. Game ability finally still himself.,73
374,Business/Internal Notes,Decision: Somebody teacher moment.,34
375,Authentication Tokens,API Key: 688435c7-9095-4a3a-98f0-293d756905e8,45
376,Authentication Tokens,API Key: a82ed5f6-4b37-4074-bdef-a211549d0cf3,45
377,Legal and Medical Text,Compliance: Prevent bit with far parent.,40
378,PII,001-679-768-4420x501,20
379,Financial Data,Transaction: LTL 738.51 for Multi-tiered discrete database,58
380,Authentication Tokens,OAuth Token: e03a9ff8f84a8f3cfc5f38e9342f01135ab50e2f,53
381,Authentication Tokens,API Key: f06b97c8-37af-409d-b001-bf73b5f6cf95,45
382,Chat Messages,Multilingual: Out law clear. ga,31
383,PII,Ashley Harris,13
384,Chat Messages,Pick buy agent economic sit travel. Difficult vote kind cost for nearly.,72
385,Authentication Tokens,OAuth Token: f15b4ee860c2c3db9a6cd452fef83c2fc622b1d5,53
386,PII,329-62-9215,11
387,Legal and Medical Text,Prescription: Protect suggest establish seek husband two.,57
388,Financial Data,"Account No: MSBT62690371625560 at Williams, Allen and Simmons",61
389,Login Credentials,PIN: 652,8
390,Chat Messages,At color little material. Report join health security increase firm.,68
391,Chat Messages,Away tough change. Smile recent pick the. Detail nor rate large while camera.,77
392,Business/Internal Notes,Meeting Summary: Happy contain star under.,42
393,Business/Internal Notes,Decision: Agent hand relationship.,34
394,Login Credentials,PIN: 4683,9
395,Chat Messages,Technology prove lawyer say magazine born.,42
396,Authentication Tokens,OAuth Token: 8096e9f5c25ba8c56db7960080d4e2c2a181e244,53
397,Authentication Tokens,API Key: edd36f61-8347-49a2-bc5e-23e4bad446ab,45
398,Legal and Medical Text,Legal Clause: Voice fight whom budget.,38
399,Login Credentials,PIN: 3743,9
400,PII,2018-11-29,10
401,PII,"71276 Ford Wells
West Madison, SC 87526",39
402,Login Credentials,PIN: 72,7
403,Login Credentials,PIN: 3892,9
404,Business/Internal Notes,Decision: Executive detail less control environmental field thank.,66
405,PII,818-45-6612,11
406,Business/Internal Notes,Project Update: Phone support level according relate say that.,62
407,Chat Messages,Multilingual: Source like blue describe picture center. th,58
408,Login Credentials,PIN: 4000,9
409,Authentication Tokens,API Key: ab7e270e-9693-4d81-b447-3063c23aa063,45
410,PII,"USNS Montoya
FPO AA 45880",25
411,Business/Internal Notes,Project Update: Individual space argue family sea.,50
412,PII,1962-03-14,10
413,Financial Data,Account No: UXSG14152975580302 at Perez-Leonard,47
414,Login Credentials,PIN: 8419,9
415,Legal and Medical Text,Compliance: Away recognize view still scientist fly south.,58
416,Chat Messages,Multilingual: Majority edge everyone once tough. mt,51
417,Financial Data,GB19XRMM70127181530798,22
418,Chat Messages,Hey Donald! Somebody she set true hit happen clearly. 😊,55
419,Financial Data,GB55HLCK21725107031597,22
420,Authentication Tokens,OAuth Token: 705a5516ddb5d2d4310b5361f865181cce6e4226,53
421,Login Credentials,"Username: adammueller, Password: E95uZ0rY#j",43
422,PII,"8690 Nicholas Falls
Jessicaview, KS 09475",41
423,Login Credentials,PIN: 2991,9
424,PII,5144571219,10
425,Business/Internal Notes,Decision: Staff put politics enough of.,39
426,Financial Data,Account No: XRPW45270417883976 at Tate Group,44
427,Login Credentials,"Username: nicholassolomon, Password: ^ANbWSCne1",47
428,Financial Data,GB09YNOY93342387669739,22
429,Authentication Tokens,OAuth Token: 6c2e90ba5aa489d8b58712c35b42d15e97c68115,53
430,Login Credentials,"Username: npowell, Password: k7B0mmtL(w",39
431,Legal and Medical Text,Compliance: Pressure dark they teacher ask plant.,49
432,PII,(934)697-9946,13
433,Financial Data,Transaction: SOS 180.41 for Object-based bi-directional attitude,64
434,Login Credentials,"Username: alexandrahill, Password: 1788aSEr@z",45
435,Authentication Tokens,API Key: e021676c-67e3-4cc7-8578-fd130e0748f4,45
